match_status,match_basis,confidence,supplier_brand,supplier_sku,supplier_source_sku,supplier_name,supplier_category,supplier_weight,supplier_length,supplier_width,supplier_height,catalog_type,catalog_sku,catalog_name,catalog_brand,catalog_categories,catalog_parent,catalog_weight,catalog_length,catalog_width,catalog_height,matched_identifier,candidate_count,name_score,name_score_gap,numeric_tokens_match,category_compatible,dimension_score,review_notes
ambiguous_identifier,protected identifier,blocked,Columbia Tools,AH8,CTTAH8,(SHORT) RETAINER CLIP COLUMBIA,AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,AH8 | CTTAH8,2,,,,,,Identifier resolves to multiple brand-compatible catalog rows
ambiguous_identifier,protected identifier,blocked,Columbia Tools,AH9,CTTAH9,(LONG) RETAINER CLIP COLUMBIA,AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,AH9 | CTTAH9,2,,,,,,Identifier resolves to multiple brand-compatible catalog rows
ambiguous_identifier,protected identifier,blocked,Columbia Tools,CT71,CTTCT71,DRIVE SPROCKET SMALL COLUMBIA,AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,CT71 | CTTCT71,2,,,,,,Identifier resolves to multiple brand-compatible catalog rows
ambiguous_identifier,protected identifier,blocked,Columbia Tools,FFB7,CTTFFB7,"SHOE, RIGHT COLUMBIA",AUTOMATIC TT PARTS,0.01,,,,,,,,,,,,,,FFB7 | CTTFFB7,2,,,,,,Identifier resolves to multiple brand-compatible catalog rows
ambiguous_identifier,protected identifier,blocked,Columbia Tools,HFFB3,CTTHFFB3,HINGE BOX END PLATE UNIVERSAL COLUMBIA,AUTOMATIC TT PARTS,0,,,,,,,,,,,,,,HFFB3 | CTTHFFB3,2,,,,,,Identifier resolves to multiple brand-compatible catalog rows
ambiguous_identifier,protected identifier,blocked,TapeTech,76TT,TTT76TT,EASYCLEAN LOADING PUMP,AUTOMATIC TAPING TOOLS,9.175,23.5,7.5,6.5,,,,,,,,,,,76TT | TTT76TT,2,,,,,,Identifier resolves to multiple brand-compatible catalog rows
ambiguous_identifier,protected identifier,blocked,TapeTech,8000TT,TTT8000TT,WIZARD COMPACT FINISHING BOX HANDLE,AUTOMATIC TAPING TOOLS,2.03,13,10.25,6.5,,,,,,,,,,,8000TT | TTT8000TT,2,,,,,,Identifier resolves to multiple brand-compatible catalog rows
approved_manual_match,explicit reviewed mapping,confirmed,TapeTech,90TT,TTT90TT,FILLER ADAPTER,AUTOMATIC TAPING TOOLS,0.3545,6,4,4,simple,90T,TapeTech Filler Adapter,TapeTech,Drywall Finishing Tools > Semi-Automatic Taping Tools > Semi-Automatic Taping Tool Accessories,,0.3545,6,4,4,90T,1,1.0000,,true,true,1.0000,User-approved exact product-name match; supplier and catalog identifiers intentionally differ.
exact_name_review,product name + brand + corroboration,review,Columbia Tools,BH07,CTTBH07,CAM FOLLOWER COLUMBIA,AUTOMATIC TT PARTS,1,,,,simple,BH7,Cam Follower,Columbia Tools,Drywall Finishing Tools > Parts,,,,,,,7,1.0000,0.4400,true,false,,"Exact normalized name and brand, but no protected identifier matched"
exact_name_review,product name + brand + corroboration,review,Columbia Tools,CFB19,CTTCFB19,NYLATRON BUSHING COLUMBIA,AUTOMATIC TT PARTS,0.0055,0.5,0.5,0.2,simple,HFFB4D,Nylatron Bushing,Columbia Tools,Drywall Finishing Tools > Parts,,,,,,,27,1.0000,0.0000,true,false,,"Exact normalized name and brand, but no protected identifier matched"
